followers,genres,popularity,country,iso_code,person_id,name,person_kind
6025491.0,"['singer-songwriter', 'rock', 'indie']",81.0,Ireland,IRL,2FXC3k01G6Gw61bmprjgqS,Hozier,Performers
1756241.0,"['pop', 'reggaeton', 'trap', 'urbano']",80.0,Puerto Rico,PRI,0GM7qgcRCORpGnfcN2tCiB,Tainy,Writers
22389257.0,"['pop', 'reggaeton', 'urbano']",80.0,Colombia,COL,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,Writers
4024610.0,['pop'],80.0,Senegal,SEN,0z4gvV4rjIZ9wHck67ucSV,Akon,Writers
11809458.0,['pop'],80.0,United Kingdom,GBR,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,Writers
7953563.0,['pop'],80.0,Australia,AUS,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,Performers
7768731.0,"['rap', 'trap']",80.0,United States,USA,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,Performers
9816046.0,"['florida drill', 'rap', 'hip-hop', 'trap']",80.0,United States,USA,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,Performers
20639218.0,"['agronejo', 'arrocha', 'sertanejo']",80.0,Brazil,BRA,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,Performers
39309054.0,['house'],80.0,Norway,NOR,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,Performers
39309054.0,['house'],80.0,Norway,NOR,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,Writers
13105972.0,"['brooklyn drill', 'rap']",80.0,United States,USA,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,Performers
1756241.0,"['pop', 'reggaeton', 'trap', 'urbano']",80.0,Puerto Rico,PRI,0GM7qgcRCORpGnfcN2tCiB,Tainy,Performers
4649003.0,['r&b'],80.0,Canada,CAN,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Performers
23099783.0,"['pop', 'edm']",80.0,Sweden,SWE,1vCWHaC5f2uS3yhpwWbIA6,Avicii,Writers
6961446.0,"['afrobeats', 'azontobeats', 'dancehall', 'hip-hop', 'pop']",80.0,Nigeria,NGA,3wcj11K77LjEY1PkEazffa,Burna Boy,Performers
15951248.0,['pop'],80.0,United States,USA,1KCSPY1glIKqW2TotWuXOR,P!nk,Performers
